wifiMAC,time,Status,VRMS A,VRMS B,VRMS C,IRMS A,IRMS B,IRMS C,Active Power(W) A,Active Power(W) B,Active Power(W) C,Active Energy(WHR) A,Active Energy(WHR) B,Active Energy(WHR) C,Reactive Power(VAR) A,Reactive Power(VAR) B,Reactive Power(VAR) C,Reactive Energy(AHHR) A,Reactive Energy(AHHR) B,Reactive Energy(AHHR) C,Apparent Power(VA) A,Apparent Power(VA) B,Apparent Power(VA) C,Apparent Energy(VARHR) A,Apparent Energy(VARHR) B,Apparent Energy(VARHR) C,VTHD A,VTHD B,VTHD C,ITHD A,ITHD B,ITHD C,Power Factor A,Power Factor B,Power Factor C,Frequency A,Frequency B,Frequency C
serial: dc:a6:32:89:f2:d0,2023-09-08 07:39,Recover,119.09,122.34,123.76,0.60,0.25,0.44,-29.15,-0.05,0.09,-0.01,-0.00,0.00,89.71,0.00,-0.30,0.02,0.00,-0.00,71.25,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.86,1.82,59.93,59.93,59.94
serial: dc:a6:32:89:f2:d0,2023-09-08 07:40,Recover,119.16,122.36,123.80,0.58,0.25,0.44,-28.05,-0.06,0.09,-0.01,-0.00,0.00,87.94,0.00,-0.15,0.02,0.00,-0.00,69.30,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.86,1.83,60.00,60.00,59.98
serial: dc:a6:32:89:f2:d0,2023-09-08 07:41,Recover,119.23,122.46,123.90,0.61,0.25,0.44,-29.89,-0.07,0.10,-0.01,-0.00,0.00,98.86,0.00,-0.30,0.03,0.00,-0.00,73.05,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,60.01,60.00,60.01
serial: dc:a6:32:89:f2:d0,2023-09-08 07:41,Recover,119.28,122.48,123.92,0.63,0.25,0.44,-19.75,-0.05,0.10,-0.01,-0.00,0.00,96.94,-0.15,-0.30,0.03,-0.00,-0.00,77.15,14.86,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.71,1.69,60.01,60.01,60.00
serial: dc:a6:32:89:f2:d0,2023-09-08 07:42,Recover,119.31,122.55,123.95,0.60,0.25,0.44,-29.70,-0.05,0.11,-0.01,-0.00,0.00,93.55,-0.15,-0.30,0.03,-0.00,-0.00,72.17,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.88,1.75,60.08,60.07,60.07
serial: dc:a6:32:89:f2:d0,2023-09-08 07:43,Recover,119.33,122.55,123.97,0.61,0.25,0.44,-29.99,-0.05,0.10,-0.01,-0.00,0.00,85.87,0.00,-0.30,0.02,0.00,-0.00,73.29,0.14,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.88,1.75,60.01,60.01,60.01
serial: dc:a6:32:89:f2:d0,2023-09-08 07:44,Recover,119.38,122.63,124.05,0.59,0.25,0.44,-28.84,-0.05,0.09,-0.01,-0.00,0.00,83.22,0.00,-0.30,0.02,0.00,-0.00,70.52,0.13,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.86,1.75,60.08,60.08,60.07
serial: dc:a6:32:89:f2:d0,2023-09-08 07:45,Recover,119.45,122.65,124.09,0.59,0.25,0.44,-28.84,-0.05,0.09,-0.01,-0.00,0.00,83.07,0.00,-0.30,0.02,0.00,-0.00,70.56,0.13,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.71,1.83,60.05,60.07,60.05
serial: dc:a6:32:89:f2:d0,2023-09-08 07:46,Recover,119.45,122.65,124.07,0.60,0.25,0.44,-18.30,-0.04,0.10,-0.01,-0.00,0.00,80.27,0.00,-0.30,0.02,0.00,-0.00,72.49,34.28,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.88,1.83,59.98,59.98,59.98
serial: dc:a6:32:89:f2:d0,2023-09-08 07:46,Recover,119.45,122.65,124.09,0.62,0.25,0.44,-30.57,-0.06,0.11,-0.01,-0.00,0.00,93.25,0.00,-0.30,0.03,0.00,-0.00,74.29,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.71,1.75,59.93,59.93,59.93
serial: dc:a6:32:89:f2:d0,2023-09-08 07:47,Recover,119.40,122.67,124.07,0.60,0.25,0.44,-18.37,-0.05,0.09,-0.01,-0.00,0.00,93.99,0.00,-0.44,0.03,0.00,-0.00,72.92,34.28,56.81,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.83,59.90,59.91,59.91
serial: dc:a6:32:89:f2:d0,2023-09-08 07:47,Recover,119.40,122.63,124.05,0.62,0.25,0.44,-30.59,-0.06,0.11,-0.01,-0.00,0.00,95.91,0.00,-0.30,0.03,0.00,-0.00,74.71,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.88,1.75,59.88,59.90,59.91
serial: dc:a6:32:89:f2:d0,2023-09-08 07:48,Recover,119.38,122.60,124.05,0.62,0.31,0.44,-30.56,-0.07,0.09,-0.01,-0.00,0.00,99.89,0.00,-0.30,0.03,0.00,-0.00,74.45,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,59.88,59.88,59.88
serial: dc:a6:32:89:f2:d0,2023-09-08 07:49,Recover,119.45,122.72,124.14,0.62,0.31,0.44,-30.05,-0.07,0.10,-0.01,-0.00,0.00,104.91,0.00,-0.30,0.03,0.00,-0.00,74.20,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,59.88,59.88,59.88
serial: dc:a6:32:89:f2:d0,2023-09-08 07:50,Recover,119.43,122.72,124.12,0.62,0.25,0.44,-30.26,-0.07,0.10,-0.01,-0.00,0.00,101.07,-0.15,-0.30,0.03,-0.00,-0.00,74.88,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.83,59.93,59.91,59.93
serial: dc:a6:32:89:f2:d0,2023-09-08 07:52,Recover,119.52,122.75,124.17,0.58,0.25,0.38,-27.53,-0.06,0.08,-0.01,-0.00,0.00,88.53,0.00,-0.30,0.02,0.00,-0.00,69.25,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,59.94,59.95,59.94
serial: dc:a6:32:89:f2:d0,2023-09-08 07:53,Recover,119.64,122.91,124.31,0.57,0.25,0.38,-27.90,-0.06,0.08,-0.01,-0.00,0.00,83.81,-0.15,-0.30,0.02,-0.00,-0.00,69.07,0.13,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.86,1.73,59.95,59.97,59.97
serial: dc:a6:32:89:f2:d0,2023-09-08 07:54,Recover,119.69,122.94,124.36,0.58,0.25,0.44,-28.07,-0.06,0.09,-0.01,-0.00,0.00,84.99,0.00,-0.30,0.02,0.00,-0.00,69.79,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,59.97,59.98,59.97
serial: dc:a6:32:89:f2:d0,2023-09-08 07:55,Recover,119.86,123.16,124.55,0.60,0.25,0.44,-29.64,-0.06,0.09,-0.01,-0.00,0.00,91.63,0.00,-0.30,0.03,0.00,-0.00,72.69,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.86,1.82,60.14,60.12,60.12
serial: dc:a6:32:89:f2:d0,2023-09-08 07:56,Recover,119.93,123.28,124.65,0.60,0.31,0.44,-29.22,-0.07,0.09,-0.01,-0.00,0.00,97.23,-0.15,-0.30,0.03,-0.00,-0.00,72.09,0.15,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.88,1.75,60.15,60.15,60.15
serial: dc:a6:32:89:f2:d0,2023-09-08 07:57,Recover,120.17,123.44,124.84,0.57,0.25,0.44,-27.87,-0.05,0.10,-0.01,-0.00,0.00,87.05,0.00,-0.15,0.02,0.00,-0.00,69.20,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.88,1.82,60.18,60.16,60.18
serial: dc:a6:32:89:f2:d0,2023-09-08 07:58,Recover,120.10,123.40,124.79,0.60,0.25,0.44,-29.30,-0.07,0.09,-0.01,-0.00,0.00,86.46,0.00,-0.30,0.02,0.00,-0.00,71.96,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.73,60.18,60.18,60.16
serial: dc:a6:32:89:f2:d0,2023-09-08 07:59,Recover,120.17,123.47,124.84,0.58,0.25,0.44,-27.98,-0.06,0.09,-0.01,-0.00,0.00,92.22,0.00,-0.15,0.03,0.00,-0.00,69.49,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.83,60.18,60.18,60.18
serial: dc:a6:32:89:f2:d0,2023-09-08 08:00,Recover,120.22,123.44,124.89,0.61,0.25,0.44,-30.62,-0.06,0.09,-0.01,-0.00,0.00,102.40,0.00,-0.30,0.03,0.00,-0.00,74.18,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.67,1.83,60.07,60.07,60.07
serial: dc:a6:32:89:f2:d0,2023-09-08 08:01,Recover,120.22,123.47,124.81,0.61,0.25,0.44,-29.90,-0.06,0.09,-0.01,-0.00,0.00,102.25,-0.15,-0.30,0.03,-0.00,-0.00,73.68,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,60.11,60.11,60.11
serial: dc:a6:32:89:f2:d0,2023-09-08 08:02,Recover,120.12,123.42,124.77,0.62,0.31,0.44,-30.21,-0.06,0.10,-0.01,-0.00,0.00,102.25,-0.15,-0.30,0.03,-0.00,-0.00,74.30,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,60.02,60.04,60.02
serial: dc:a6:32:89:f2:d0,2023-09-08 08:03,Recover,120.17,123.42,124.84,0.61,0.25,0.44,-30.19,-0.06,0.08,-0.01,-0.00,0.00,102.10,-0.15,-0.30,0.03,-0.00,-0.00,73.84,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,60.04,60.04,60.04
serial: dc:a6:32:89:f2:d0,2023-09-08 08:04,Recover,120.20,123.52,124.86,0.60,0.25,0.44,-30.09,-0.05,0.10,-0.01,-0.00,0.00,93.25,0.00,-0.30,0.03,0.00,-0.00,72.28,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,59.97,59.97,59.97
serial: dc:a6:32:89:f2:d0,2023-09-08 08:06,Recover,120.15,123.40,124.79,0.59,0.25,0.44,-28.99,-0.05,0.10,-0.01,-0.00,0.00,82.63,0.00,-0.15,0.02,0.00,-0.00,70.84,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.88,1.73,59.90,59.90,59.90
serial: dc:a6:32:89:f2:d0,2023-09-08 08:07,Recover,120.17,123.40,124.84,0.60,0.25,0.44,-29.28,-0.05,0.11,-0.01,-0.00,0.00,85.73,-0.15,-0.30,0.02,-0.00,-0.00,71.79,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.86,1.75,59.87,59.87,59.87
serial: dc:a6:32:89:f2:d0,2023-09-08 08:08,Recover,120.20,123.54,124.89,0.61,0.25,0.44,-30.14,-0.05,0.10,-0.01,-0.00,0.00,91.63,0.00,-0.30,0.03,0.00,-0.00,73.67,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.88,1.75,59.87,59.87,59.87
serial: dc:a6:32:89:f2:d0,2023-09-08 08:09,Recover,120.24,123.56,124.91,0.62,0.25,0.44,-31.30,-0.06,0.11,-0.01,-0.00,0.00,90.74,0.00,-0.30,0.03,0.00,-0.00,75.06,0.14,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.88,1.83,59.93,59.93,59.93
serial: dc:a6:32:89:f2:d0,2023-09-08 08:10,Recover,120.41,123.71,125.10,0.60,0.25,0.44,-29.96,-0.05,0.10,-0.01,-0.00,0.00,84.84,0.00,-0.15,0.02,0.00,-0.00,72.63,0.14,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.71,1.75,60.01,60.00,60.00
serial: dc:a6:32:89:f2:d0,2023-09-08 08:11,Recover,120.49,123.73,125.15,0.58,0.25,0.44,-28.35,-0.05,0.10,-0.01,-0.00,0.00,84.84,-0.15,-0.30,0.02,-0.00,-0.00,69.86,0.13,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,60.01,60.02,60.02
serial: dc:a6:32:89:f2:d0,2023-09-08 08:12,Recover,120.56,123.80,125.25,0.60,0.25,0.44,-29.75,-0.05,0.10,-0.01,-0.00,0.00,84.99,-0.15,-0.30,0.02,-0.00,-0.00,72.39,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.86,1.75,60.05,60.04,60.04
serial: dc:a6:32:89:f2:d0,2023-09-08 08:13,Recover,119.23,122.43,123.85,0.63,0.25,0.44,-31.57,-0.05,0.10,-0.01,-0.00,0.00,93.25,0.00,-0.44,0.03,0.00,-0.00,75.34,0.14,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,60.07,60.08,60.07
serial: dc:a6:32:89:f2:d0,2023-09-08 08:14,Recover,119.09,122.31,123.66,0.64,0.25,0.44,-31.85,-0.06,0.10,-0.01,-0.00,0.00,92.37,0.00,-0.30,0.03,0.00,-0.00,75.99,0.14,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,60.15,60.14,60.15
serial: dc:a6:32:89:f2:d0,2023-09-08 08:15,Recover,119.19,122.43,123.80,0.62,0.25,0.44,-30.80,-0.06,0.09,-0.01,-0.00,0.00,91.33,0.00,-0.30,0.03,0.00,-0.00,73.63,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.88,1.83,60.12,60.12,60.14
serial: dc:a6:32:89:f2:d0,2023-09-08 08:16,Recover,119.28,122.58,123.95,0.60,0.25,0.44,-29.89,-0.06,0.10,-0.01,-0.00,0.00,87.35,-0.15,-0.44,0.02,-0.00,-0.00,71.91,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.86,1.75,60.16,60.16,60.16
serial: dc:a6:32:89:f2:d0,2023-09-08 08:17,Recover,119.28,122.55,123.90,0.59,0.25,0.44,-29.11,-0.05,0.11,-0.01,-0.00,0.00,83.36,0.00,-0.30,0.02,0.00,-0.00,70.34,0.13,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.86,1.83,60.15,60.14,60.14
serial: dc:a6:32:89:f2:d0,2023-09-08 08:19,Recover,119.40,122.63,124.02,0.60,0.25,0.44,-29.40,-0.07,0.10,-0.01,-0.00,0.00,85.28,0.00,-0.30,0.02,0.00,-0.00,71.52,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.71,1.75,60.12,60.12,60.12
serial: dc:a6:32:89:f2:d0,2023-09-08 08:20,Recover,119.26,122.51,123.88,0.60,0.25,0.44,-30.22,-0.06,0.09,-0.01,-0.00,0.00,86.02,0.00,-0.30,0.02,0.00,-0.00,72.50,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.71,1.83,60.09,60.09,60.09
serial: dc:a6:32:89:f2:d0,2023-09-08 08:21,Recover,119.23,122.51,123.85,0.62,0.25,0.44,-30.73,-0.05,0.10,-0.01,-0.00,0.00,91.04,0.00,-0.15,0.03,0.00,-0.00,73.78,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,60.08,60.08,60.08
serial: dc:a6:32:89:f2:d0,2023-09-08 08:22,Recover,119.23,122.48,123.88,0.62,0.25,0.44,-30.59,-0.06,0.09,-0.01,-0.00,0.00,93.84,-0.15,-0.30,0.03,-0.00,-0.00,74.08,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.83,60.08,60.08,60.09
serial: dc:a6:32:89:f2:d0,2023-09-08 08:23,Recover,119.33,122.60,123.92,0.63,0.25,0.44,-31.21,-0.07,0.09,-0.01,-0.00,0.00,95.17,0.00,-0.30,0.03,0.00,-0.00,75.31,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.88,1.75,60.12,60.12,60.12
serial: dc:a6:32:89:f2:d0,2023-09-08 08:24,Recover,119.19,122.43,123.85,0.60,0.25,0.44,-29.77,-0.05,0.10,-0.01,-0.00,0.00,84.10,0.00,-0.30,0.02,0.00,-0.00,72.31,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.86,1.75,60.12,60.14,60.12
serial: dc:a6:32:89:f2:d0,2023-09-08 08:25,Recover,119.16,122.43,123.80,0.59,0.25,0.44,-29.18,-0.06,0.10,-0.01,-0.00,0.00,88.97,0.00,-0.30,0.02,0.00,-0.00,70.78,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,60.09,60.09,60.09
serial: dc:a6:32:89:f2:d0,2023-09-08 08:26,Recover,119.16,122.48,123.76,0.63,0.31,0.44,-31.26,-0.06,0.10,-0.01,-0.00,0.00,97.38,0.00,-0.30,0.03,0.00,-0.00,75.81,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.83,60.07,60.07,60.07
serial: dc:a6:32:89:f2:d0,2023-09-08 08:27,Recover,119.21,122.48,123.80,0.63,0.25,0.44,-31.27,-0.06,0.10,-0.01,-0.00,0.00,96.79,0.00,-0.30,0.03,0.00,-0.00,75.04,0.14,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,60.02,60.02,60.01
serial: dc:a6:32:89:f2:d0,2023-09-08 08:28,Recover,119.11,122.41,123.73,0.60,0.25,0.44,-29.30,-0.05,0.09,-0.01,-0.00,0.00,96.64,0.00,-0.30,0.03,0.00,-0.00,71.77,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,60.04,60.02,60.02
serial: dc:a6:32:89:f2:d0,2023-09-08 08:29,Recover,119.11,122.39,123.71,0.59,0.25,0.44,-28.14,-0.06,0.10,-0.01,-0.00,0.00,88.97,0.00,-0.30,0.02,0.00,-0.00,70.08,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,59.95,59.95,59.97
serial: dc:a6:32:89:f2:d0,2023-09-08 08:30,Recover,119.21,122.46,123.80,0.59,0.25,0.44,-29.13,-0.05,0.10,-0.01,-0.00,0.00,83.22,0.00,-0.30,0.02,0.00,-0.00,70.82,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.86,1.83,60.02,60.02,60.04
serial: dc:a6:32:89:f2:d0,2023-09-08 08:32,Recover,119.16,122.43,123.76,0.60,0.25,0.44,-29.54,-0.06,0.10,-0.01,-0.00,0.00,88.23,0.00,-0.30,0.02,0.00,-0.00,72.33,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,59.94,59.95,59.95
serial: dc:a6:32:89:f2:d0,2023-09-08 08:33,Recover,119.16,122.46,123.73,0.60,0.25,0.44,-28.83,-0.07,0.09,-0.01,-0.00,0.00,91.48,0.00,-0.30,0.03,0.00,-0.00,71.58,0.15,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.83,59.93,59.93,59.91
serial: dc:a6:32:89:f2:d0,2023-09-08 08:34,Recover,119.16,122.43,123.76,0.61,0.25,0.44,-29.87,-0.06,0.10,-0.01,-0.00,0.00,96.05,-0.15,-0.30,0.03,-0.00,-0.00,73.47,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.71,1.73,59.88,59.87,59.87
serial: dc:a6:32:89:f2:d0,2023-09-08 08:35,Recover,119.11,122.43,123.73,0.63,0.31,0.44,-31.11,-0.06,0.10,-0.01,-0.00,0.00,95.61,0.00,-0.30,0.03,0.00,-0.00,75.75,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,59.87,59.87,59.87
serial: dc:a6:32:89:f2:d0,2023-09-08 08:36,Recover,119.14,122.41,123.76,0.63,0.31,0.44,-30.89,-0.08,0.09,-0.01,-0.00,0.00,97.97,0.00,-0.30,0.03,0.00,-0.00,75.26,0.15,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.83,59.88,59.90,59.88
serial: dc:a6:32:89:f2:d0,2023-09-08 08:37,Recover,119.16,122.43,123.80,0.59,0.25,0.44,-28.94,-0.05,0.09,-0.01,-0.00,0.00,86.76,-0.15,-0.30,0.02,-0.00,-0.00,71.01,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.86,1.75,59.94,59.94,59.94
serial: dc:a6:32:89:f2:d0,2023-09-08 08:38,Recover,119.09,122.39,123.71,0.58,0.25,0.44,-28.31,-0.06,0.10,-0.01,-0.00,0.00,88.09,-0.15,-0.30,0.02,-0.00,-0.00,69.95,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.83,59.88,59.88,59.88
serial: dc:a6:32:89:f2:d0,2023-09-08 08:39,Recover,119.04,122.34,123.68,0.58,0.25,0.44,-28.11,-0.06,0.10,-0.01,-0.00,0.00,83.66,-0.15,-0.15,0.02,-0.00,-0.00,69.24,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.86,1.73,59.87,59.87,59.87
serial: dc:a6:32:89:f2:d0,2023-09-08 08:40,Recover,119.09,122.36,123.68,0.61,0.25,0.44,-29.75,-0.06,0.09,-0.01,-0.00,0.00,99.15,0.00,-0.30,0.03,0.00,-0.00,73.00,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.75,59.87,59.87,59.87
serial: dc:a6:32:89:f2:d0,2023-09-08 08:41,Recover,119.07,122.39,123.68,0.60,0.25,0.44,-28.95,-0.05,0.09,-0.01,-0.00,0.00,94.58,-0.15,-0.30,0.03,-0.00,-0.00,71.18,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,59.86,59.86,59.87
serial: dc:a6:32:89:f2:d0,2023-09-08 08:42,Recover,119.07,122.31,123.66,0.59,0.25,0.44,-28.68,-0.06,0.09,-0.01,-0.00,0.00,82.04,0.00,-0.30,0.02,0.00,-0.00,70.40,0.14,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.88,1.75,59.86,59.83,59.84
serial: dc:a6:32:89:f2:d0,2023-09-08 08:44,Recover,119.04,122.29,123.64,0.59,0.25,0.44,-28.21,-0.06,0.10,-0.01,-0.00,0.00,83.07,-0.15,-0.15,0.02,-0.00,-0.00,69.99,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.71,1.75,59.84,59.84,59.84
serial: dc:a6:32:89:f2:d0,2023-09-08 08:45,Recover,119.04,122.31,123.64,0.59,0.25,0.44,-28.25,-0.05,0.09,-0.01,-0.00,0.00,86.32,-0.15,-0.30,0.02,-0.00,-0.00,70.27,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.71,1.75,59.84,59.86,59.84
serial: dc:a6:32:89:f2:d0,2023-09-08 08:46,Recover,119.16,122.43,123.80,0.60,0.25,0.44,-29.52,-0.07,0.09,-0.01,-0.00,0.00,90.89,0.00,-0.30,0.03,0.00,-0.00,72.27,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.75,1.75,59.90,59.88,59.90
serial: dc:a6:32:89:f2:d0,2023-09-08 08:47,Recover,119.11,122.41,123.78,0.62,0.25,0.44,-30.67,-0.06,0.09,-0.01,-0.00,0.00,93.25,0.00,-0.30,0.03,0.00,-0.00,74.09,0.14,0.22,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.29,1.75,59.94,59.93,59.93
serial: dc:a6:32:89:f2:d0,2023-09-08 08:48,Recover,119.21,122.51,123.85,0.63,0.25,0.44,-31.35,-0.06,0.10,-0.01,-0.00,0.00,95.91,0.00,-0.30,0.03,0.00,-0.00,75.85,0.14,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.88,1.75,59.98,60.00,60.01
serial: dc:a6:32:89:f2:d0,2023-09-08 08:49,Recover,119.31,122.60,123.95,0.65,0.25,0.44,-32.59,-0.06,0.10,-0.01,-0.00,0.00,96.79,0.00,-0.30,0.03,0.00,-0.00,77.84,0.14,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.75,1.77,60.07,60.08,60.08
serial: dc:a6:32:89:f2:d0,2023-09-08 06:59,Recover,119.45,122.75,124.05,0.62,0.25,0.44,-19.50,-0.06,0.10,-0.01,-0.00,0.00,82.77,0.00,-0.30,0.02,0.00,-0.00,76.11,34.66,59.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.71,1.77,60.22,60.22,60.22
